GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
Battery_Utility_1h,2021,bat_1h,Menorca,battery,0,0,0
Battery_Utility_1h,2022,bat_1h,Menorca,battery,0,0,0
Battery_Utility_1h,2023,bat_1h,Menorca,battery,0,0,0
Battery_Utility_1h,2024,bat_1h,Menorca,battery,0,0,0
Battery_Utility_1h,2025,bat_1h,Menorca,battery,0,0,0
Battery_Utility_1h,2026,bat_1h,Menorca,battery,2,82714.9,21464
Battery_Utility_1h,2027,bat_1h,Menorca,battery,2,82714.9,21464
Battery_Utility_1h,2028,bat_1h,Menorca,battery,2,82714.9,21464
Battery_Utility_1h,2029,bat_1h,Menorca,battery,2,82714.9,21464
Battery_Utility_1h,2030,bat_1h,Menorca,battery,2,82714.9,21464
Battery_Utility_2h,2021,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2022,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2023,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2024,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2025,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2026,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2027,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2028,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2029,bat_2h,Menorca,battery,0,0,0
Battery_Utility_2h,2030,bat_2h,Menorca,battery,0,0,0
Battery_Utility_4h,2021,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2022,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2023,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2024,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2025,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2026,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2027,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2028,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2029,bat_4h,Menorca,battery,0,0,0
Battery_Utility_4h,2030,bat_4h,Menorca,battery,0,0,0
CCGT,2021,ccgt,Menorca,gas,0,0,0
CCGT,2022,ccgt,Menorca,gas,0,0,0
CCGT,2023,ccgt,Menorca,gas,0,0,0
CCGT,2024,ccgt,Menorca,gas,0,0,0
CCGT,2025,ccgt,Menorca,gas,0,0,0
CCGT,2026,ccgt,Menorca,gas,0,0,0
CCGT,2027,ccgt,Menorca,gas,0,0,0
CCGT,2028,ccgt,Menorca,gas,0,0,0
CCGT,2029,ccgt,Menorca,gas,0,0,0
CCGT,2030,ccgt,Menorca,gas,0,0,0
Diesel_GE,2021,diesel,Menorca,diesel,76,3.60362e+06,1.72725e+06
Diesel_GE,2022,diesel,Menorca,diesel,76,3.60362e+06,1.72725e+06
Diesel_P&W,2021,diesel,Menorca,diesel,148.2,7.02706e+06,3.36814e+06
Diesel_P&W,2022,diesel,Menorca,diesel,148.2,7.02706e+06,3.36814e+06
Fueloil_MB&W,2021,fueloil,Menorca,fueloil,47.4,2.24752e+06,1.07726e+06
Fueloil_MB&W,2022,fueloil,Menorca,fueloil,47.4,2.24752e+06,1.07726e+06
